Interface,Description,MAC Address,,,,,,
NHLEMSPR051489,NHLEMSPR051489,30:E1:71:80:8A:17,,,,,,
NHLEMSPR051540,NHLEMSPR051540,30:E1:71:7F:B4:3D,,,,,,
NHLEMFHBO411B,NHLEMFHBO411B,D8:9E:F3:4B:F3:43,,,,,,
NHLEMFFLT405AA,NHLEMFFLT405AA,9C:7B:EF:AE:78:37,,,,,,
NHLEMHHCPHA162,NHLEMHHCPHA162,DC:4A:3E:55:59:38,,,,,,
NHLEMSPR051401,NHLEMSPR051401,30:E1:71:81:8A:60,,,,,,
NHLEMLABDB1170,NHLEMLABDB1170,FC:45:96:20:D4:C7,,,,,,
NHLEMLIAPANSPO,NHLEMLIAPANSPO,00:0D:05:07:DB:D4,,,,,,
NHLEM-VM-HISPAC,NHLEM-VM-HISPAC,00:50:56:95:1B:7A,,,,,,
NHLEMLIAPANSOR4,NHLEMLIAPANSOR4,00:0D:05:07:DB:F6,,,,,,
NHLEMLIAPANSOR3,NHLEMLIAPANSOR3,00:0D:05:07:DB:8A,,,,,,
NHLEMLIAPANSOR2,NHLEMLIAPANSOR2,00:0D:05:07:DB:D8,,,,,,
NHLEMLIAPANSOR1,NHLEMLIAPANSOR1,00:0D:05:07:DB:EE,,,,,,
NHLEMLIAEREG,NHLEMLIAEREG,9C:7B:EF:AE:7A:0D,,,,,,
NHLEMSURG2235,NHLEMSURG2235,30:E1:71:81:CF:98,,,,,,
NHLEMOR2217,NHLEMOR2217,DC:4A:3E:54:BF:80,,,,,,
NHLEMFFLT405HH,NHLEMFFLT405HH,C4:34:6B:6E:B7:85,,,,,,
NHLEMMM1120I,NHLEMMM1120I,30:E1:71:80:80:D1,,,,,,
NHLEMHHCFLT149,NHLEMHHCFLT149,DC:4A:3E:55:9A:27,,,,,,
NHLEMHHCFLT144,NHLEMHHCFLT144,DC:4A:3E:54:C0:D6,,,,,,
NHLEMHHCFLT140,NHLEMHHCFLT140,DC:4A:3E:54:C2:4A,,,,,,
NHLEMHHCFLT137,NHLEMHHCFLT137,DC:4A:3E:55:59:56,,,,,,
NHLEMHHCAUD176,NHLEMHHCAUD176,B8:CA:3A:A6:13:6E,,,,,,
NHLEMDERMCAM,NHLEMDERMCAM,B8:8A:60:DF:C6:18,,,,,,
NHLEMHHCFLT174,NHLEMHHCFLT174,C8:D3:FF:A8:07:37,,,,,,
NHLEMWK6492RJV,NHLEMWK6492RJV,DC:4A:3E:55:99:B7,,,,,,
NHLEMMH1295C,NHLEMMH1295C,FC:45:96:21:18:3A,,,,,,
NHLEMFFM132A,NHLEMFFM132A,64:51:06:3D:34:FB,,,,,,
NHLEMFFM114E,NHLEMFFM114E,64:51:06:3D:34:F6,,,,,,
NHLEMIH08B,NHLEMIH08B,DC:4A:3E:55:97:91,,,,,,
NHLEMITIVANTI,NHLEMITIVANTI,00:50:56:A6:79:F2,,,,,,
NHLEMASTC9B,NHLEMASTC9B,54:BF:64:63:6C:1D,,,,,,
NHLEMASTC16A,NHLEMASTC16A,54:BF:64:64:23:BC,,,,,,
NHLEMSPR051309,NHLEMSPR051309,FC:45:96:21:18:3E,,,,,,
NHLEMFFLT405J,NHLEMFFLT405J,C4:34:6B:6E:BB:5D,,,,,,
NHLEMADM2352A,NHLEMADM2352A,30:E1:71:7F:5F:3C,,,,,,
NHLEMFIT424C,NHLEMFIT424C,30:E1:71:81:7E:98,,,,,,
NHLEM724ITVM,NHLEM724ITVM,00:50:56:A6:B3:C1,,,,,,
NHLEMHHCOCC106,NHLEMHHCOCC106,DC:4A:3E:55:59:E2,,,,,,
NHLEMHHCDDS117F,NHLEMHHCDDS117F,30:E1:71:80:14:3A,,,,,,
NHLEMADM1114D,NHLEMADM1114D,30:E1:71:80:A7:66,,,,,,
